rna_id	read_counts	effective_length	normalized_read_counts
EG11269	592	25.476043387929654	23.237517340721947
EG11271	170	28.467830026262597	5.971652909377669
EG11272	16	31.461320356247686	0.5085609827822332
EG11274	325	31.461320356247686	10.33014496276411
EG11276	0	1.9128522522333686	0.0
EG11277	451	10.56684634759951	42.680662249097104
EG11280	360	12.554472759315885	28.675039318785142
G0-10439	0	15.554472759315885	0.0
G0-10580	140	12.554472759315885	11.151404179527555
G0-10588	5	18.554472759315885	0.26947680297137977
G0-10641	552	25.476043387929654	21.667414817700195
G0-10645	0	10.56684634759951	0.0
G0-10651	17	6.554472759315885	2.593648737930578
G0-10689	199	22.4866158832222	8.849708690424984
