rna_id	read_counts	effective_length	normalized_read_counts
EG11269	255	25.376003860133437	10.04886354074897
EG11271	72	28.35908436634591	2.5388689941429603
EG11272	1	31.346255068130144	0.03190173747474874
EG11274	426	31.346255068130144	13.590140164242962
EG11276	0	2.0415379987095	0.0
EG11277	268	10.566651334242922	25.362812827135045
EG11280	236	12.679865130241614	18.612185348654652
G0-10439	0	15.679865130241614	0.0
G0-10580	76	12.679865130241614	5.993754603804041
G0-10588	1	18.679865130241616	0.05353357709103895
G0-10641	647	25.376003860133437	25.496528277900325
G0-10645	0	10.566651334242922	0.0
G0-10651	3	6.679865130241614	0.44911086399307115
G0-10689	47	22.39841305625345	2.098362945712263
